Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,
NLKWR Dewi,4,4,1,74,34*,24.66,100,74,0,0,0,7,0
NM Suarniasih,4,4,2,25,12*,12.5,33,75.75,0,0,0,1,0
TFC Penu Weo,4,4,0,44,14,11,82,53.65,0,0,0,3,0
KA Kurniartini,4,4,0,35,15,8.75,54,64.81,0,0,0,4,0
NKD Indriyani,4,4,1,20,9*,6.66,31,64.51,0,0,0,2,0
D Wulandari,4,4,1,20,16*,6.66,49,40.81,0,0,1,0,0
GAMR Ulansari,4,4,0,25,10,6.25,61,40.98,0,0,0,2,0
NKD Murtiari,4,4,0,21,11,5.25,41,51.21,0,0,1,1,0
NK Ariani,4,4,0,3,3,0.75,9,33.33,0,0,3,0,0
IGASF Pratiwi,4,2,2,5,3*,-,10,50,0,0,0,0,0
L Qiao,4,1,1,1,1*,-,2,50,0,0,0,0,0
